COUNTY_NAME,2002,2007,2012,2017,2022
LONOKE,59.0,22.0,67.0,191.0,192.0
MILLER,0.0,0.0,0.0,32.0,0.0
MISSISSIPPI,0.0,10.0,0.0,0.0,0.0
NEVADA,0.0,0.0,0.0,146.0,44.0
NEWTON,2381.0,59.0,21.0,64.0,56.0
OUACHITA,36.0,0.0,0.0,0.0,59.0
PHILLIPS,235.0,63.0,0.0,0.0,125.0
POINSETT,0.0,0.0,9.0,140.0,0.0
POLK,6451.0,16970.0,83.0,98.0,57.0
POPE,21410.0,20558.0,9062.0,512.0,5268.0
PRAIRIE,0.0,17.0,0.0,42.0,0.0
PULASKI,487.0,0.0,0.0,162.0,240.0
SALINE,0.0,60.0,0.0,26.0,235.0
SCOTT,78.0,75.0,0.0,49.0,0.0
SEARCY,82.0,47.0,0.0,0.0,116.0
SEBASTIAN,51.0,52.0,41.0,18.0,29.0
SEVIER,11176.0,22950.0,3399.0,8578.0,0.0
SHARP,0.0,282.0,0.0,332.0,0.0
STONE,0.0,0.0,43.0,59.0,73.0
UNION,0.0,64.0,81.0,106.0,138.0
VAN BUREN,21.0,36.0,72.0,166.0,0.0
WHITE,41.0,173.0,0.0,199.0,497.0
YELL,28.0,13500.0,9505.0,18166.0,101.0
ALAMEDA,0.0,10.0,25.0,0.0,12.0
AMADOR,108.0,65.0,15.0,15.0,0.0
BUTTE,1365.0,230.0,422.0,0.0,246.0
CALAVERAS,0.0,86.0,104.0,110.0,486.0
COLUSA,86.0,0.0,425.0,0.0,474.0
CONTRA COSTA,0.0,0.0,56.0,0.0,21.0
DEL NORTE,9.0,38.0,0.0,29.0,0.0
EL DORADO,121.0,233.0,0.0,0.0,415.0
FRESNO,522.0,426.0,741.0,332.0,240.0
GLENN,143.0,348.0,308.0,0.0,344.0
HUMBOLDT,151.0,0.0,143.0,370.0,0.0
IMPERIAL,0.0,8.0,8.0,0.0,0.0
INYO,52.0,0.0,19.0,0.0,0.0
KERN,661.0,617.0,645.0,977.0,1704.0
KINGS,495.0,94.0,114.0,0.0,76.0
LAKE,632.0,0.0,212.0,0.0,75.0
LASSEN,226.0,0.0,104.0,154.0,239.0
LOS ANGELES,0.0,0.0,0.0,145.0,169.0
MADERA,351.0,313.0,90.0,0.0,112.0
MARIPOSA,0.0,59.0,46.0,54.0,102.0
MENDOCINO,420.0,190.0,512.0,378.0,398.0
MERCED,2327.0,77.0,200.0,0.0,14.0
MODOC,43.0,35.0,0.0,406.0,23.0
MONO,0.0,0.0,0.0,18.0,0.0
MONTEREY,0.0,0.0,68.0,157.0,0.0
NAPA,161.0,0.0,34.0,99.0,13.0
ORANGE,42.0,0.0,31.0,46.0,61.0
PLACER,355.0,322.0,179.0,466.0,534.0
PLUMAS,0.0,12.0,14.0,21.0,220.0
RIVERSIDE,2644.0,852.0,1147.0,318.0,0.0
SACRAMENTO,1676.0,267.0,255.0,190.0,1296.0
SAN BENITO,83.0,19.0,0.0,0.0,0.0
SAN BERNARDINO,416.0,722.0,682.0,0.0,587.0
SAN DIEGO,1090.0,565.0,0.0,0.0,1625.0
SAN JOAQUIN,130.0,278.0,307.0,26.0,127.0
SAN LUIS OBISPO,0.0,0.0,426.0,209.0,386.0
SAN MATEO,11.0,0.0,17.0,0.0,0.0
SANTA BARBARA,540.0,79.0,510.0,51.0,635.0
SANTA CLARA,121.0,122.0,60.0,312.0,102.0
SHASTA,0.0,766.0,0.0,523.0,571.0
SISKIYOU,195.0,104.0,258.0,71.0,387.0
SOLANO,164.0,0.0,179.0,0.0,138.0
SONOMA,1510.0,549.0,607.0,1239.0,640.0
STANISLAUS,1999.0,3674.0,110.0,9052.0,1150.0
SUTTER,0.0,0.0,205.0,286.0,549.0
TEHAMA,583.0,330.0,852.0,429.0,812.0
TRINITY,0.0,65.0,744.0,405.0,422.0
TULARE,2667.0,132.0,1622.0,1264.0,281.0
TUOLUMNE,0.0,0.0,90.0,158.0,49.0
VENTURA,64.0,0.0,0.0,0.0,0.0
YOLO,471.0,53.0,60.0,1133.0,450.0
YUBA,28.0,243.0,0.0,168.0,239.0
ADAMS,886.0,118.0,0.0,486.0,227.0
ALAMOSA,0.0,32.0,0.0,34.0,28.0
ARAPAHOE,3480.0,164.0,289.0,732.0,270.0
ARCHULETA,0.0,20.0,64.0,15.0,0.0
BACA,3468.0,8.0,75.0,0.0,44.0
BENT,2452.0,57.0,84.0,0.0,0.0
BOULDER,636.0,0.0,286.0,321.0,88.0
CHAFFEE,6.0,15.0,0.0,112.0,10.0
CONEJOS,0.0,0.0,55.0,411.0,0.0
COSTILLA,0.0,60.0,41.0,18.0,0.0
CROWLEY,450.0,134.0,0.0,468.0,14.0
CUSTER,0.0,0.0,0.0,56.0,48.0
DELTA,170.0,558.0,225.0,720.0,1004.0
DOLORES,0.0,0.0,3.0,0.0,0.0
DOUGLAS,0.0,0.0,96.0,95.0,88.0
EAGLE,14.0,0.0,63.0,14.0,97.0
EL PASO,5763.0,255.0,188.0,349.0,552.0
ELBERT,0.0,0.0,107.0,407.0,0.0
FREMONT,0.0,136.0,87.0,216.0,44.0
GARFIELD,421.0,0.0,198.0,0.0,72.0
GRAND,0.0,58.0,0.0,15.0,45.0
GUNNISON,0.0,0.0,45.0,61.0,53.0
HUERFANO,0.0,37.0,0.0,19.0,50.0
KIT CARSON,921.0,97.0,158.0,21.0,438.0
LA PLATA,0.0,0.0,0.0,0.0,287.0
LARIMER,1594.0,296.0,222.0,0.0,0.0
LAS ANIMAS,9.0,77.0,63.0,48.0,22.0
MESA,307.0,316.0,486.0,0.0,423.0
MOFFAT,0.0,415.0,87.0,507.0,0.0
MONTEZUMA,0.0,65.0,90.0,780.0,212.0
